"nacionalidad","cantidad_pilotos","puntos_totales","victorias","podios","poles"
"British","166","11908.64","317","1477","309"
"German","50","7988.50","179","980","166"
"Finnish","9","4388.50","57","503","70"
"French","73","3636.33","81","966","80"
"Spanish","15","3614.50","36","360","28"
"Brazilian","32","3423.00","101","687","126"
"Australian","19","3188.50","45","342","35"
"Dutch","18","2941.50","63","248","40"
"Italian","99","2040.66","43","825","54"
"Mexican","6","1679.00","8","189","3"
"Monegasque","4","1367.00","8","66","26"
"American","158","999.00","33","403","39"
"Austrian","15","990.50","41","223","46"
"Argentine","24","698.92","38","138","38"
"Canadian","14","637.00","17","231","16"
"New Zealander","10","547.50","12","129","6"
"Swedish","10","396.00","12","157","15"
"Belgian","23","388.00","11","167","14"
"Swiss","23","348.00","7","124","7"
"Colombian","3","307.00","7","38","13"
"Japanese","20","296.00","0","242","0"
"South African","23","282.00","10","67","3"
"Polish","1","274.00","1","47","1"
"Russian","4","267.00","0","135","0"
"Thai","2","246.00","0","60","0"
"Danish","5","197.00","0","132","0"
"Venezuelan","3","77.00","1","62","1"
"Chinese","1","16.00","0","53","0"
"Irish","5","16.00","0","16","0"
"Portuguese","4","8.00","0","42","0"
"Rhodesian","4","6.00","0","3","0"
"Argentinian ","1","5.00","0","5","0"
"Indian","2","5.00","0","41","0"
"Chilean","1","3.00","0","4","0"
"Hungarian","1","1.00","0","10","0"
"East German","3","0.00","0","3","0"
"Indonesian","1","0.00","0","9","0"
"Czech","1","0.00","0","2","0"
"Argentine-Italian","1","0.00","0","0","0"
"American-Italian","1","0.00","0","0","0"
"Malaysian","1","0.00","0","5","0"
"Uruguayan","4","0.00","0","1","0"
"Liechtensteiner","1","0.00","0","2","0"
